temperature_2_m_above_gnd,relative_humidity_2_m_above_gnd,mean_sea_level_pressure_MSL,total_precipitation_sfc,total_cloud_cover_sfc,shortwave_radiation_backwards_sfc,wind_speed_10_m_above_gnd,angle_of_incidence,zenith,generated_power_kw
1.54,62,1016.2,0,0,271.45,22.91,21.879876,63.12744,1717.2196
2.77,57,1015.7,0,12,392.49,25.96,17.105247,61.711725,1463.1401
1.86,69,1016.5,0,10,299.93,42.33,22.626764,63.360918,774.13052
2.72,63,1016,0,10,469.92,43.53,34.00882,67.875998,202.27496
2.62,68,1016.3,0,2,379.14,42.24,47.168844,74.718691,332.33587
2.5,73,1017.1,0,100,386.26,41.14,60.750413,83.160134,177.91597
-5.35,82,1028.9,0,0,0,15.94,59.962798,82.557387,553.33489
-4.92,84,1028.8,0,0,3.56,14.83,46.24653,74.090688,1457.4705
-1.68,75,1028.2,0,0,119.26,14,33.114848,67.354523,2219.2605
1.3,61,1026.6,0,0.3,272.34,18.2,21.884109,62.98702,2595.2027
2.34,59,1025.8,0,0.3,398.72,20.77,16.915904,61.518011,2724.477
4.5,31,1024.7,0,0,478.82,7.79,22.434327,63.15475,2668.6514
5.21,27,1023.4,0,0,504.63,7.63,33.855504,67.667245,2415.1739
5.6,26,1022.8,0,61,477.93,8.05,47.045819,74.514472,1160.2291
5.58,27,1022.2,0,100,394.27,9.01,60.652214,82.966378,127.90982
-0.93,89,1014.9,0.2,100,0,46.8,59.77182,82.296286,7.6198024
-0.64,88,1014.1,0.2,100,2.67,46.44,46.270887,73.967285,164.66754
0.34,84,1014.5,0.2,100,68.53,48.24,33.127877,67.218269,315.74279
1.02,80,1013.8,0.1,100,187.79,48.24,21.787798,62.808486,316.44196
1.62,77,1012.5,0.1,100,295.48,46.81,16.729554,61.320051,870.24529
1.22,77,1012.7,0,100,205.59,45.01,22.239193,62.942805,902.17283
1.82,76,1012.5,0,60,382.7,42.34,33.702217,67.453595,357.74893
2.5,76,1012,0,100,373.8,40.06,46.924101,74.30625,125.95566
1.83,81,1010.4,0,100,201.14,37.65,60.555932,82.76925,25.226724
-3.59,94,1015.8,0,94,4.45,45.67,44.277769,72.675565,0.060569106
-3.08,94,1017.7,0,100,121.04,42.18,33.074579,67.045387,19.060523
-2.18,92,1017,0,88,225.17,46.33,21.686838,62.62334,155.21215
-1.2,79,1016.2,0,10,308.83,48.55,16.52021,61.111442,1137.9982
0.05,68,1016.3,0,10,472.59,40.38,22.041724,62.72528,2176.6919
0.81,64,1015.9,0,10,496.62,39.39,33.549205,67.235237,2204.0698
1.29,62,1016,0,10,467.25,36.36,46.803868,74.094203,1544.6314
1.51,64,1015.3,0,10,374.69,33.99,60.461693,82.568901,226.21317
-1.95,91,1013.5,0,100,0,8.59,60.213583,82.312955,480.20512
-1.24,79,1012.5,0,100,2.67,12.5,46.309746,73.700679,568.66697
-2.19,86,1013.8,0,100,48.06,14.69,33.048672,66.880642,639.75016
-1.85,86,1013.6,0.1,100,105.02,13.83,21.580768,62.43138,705.53718
-0.86,87,1012.3,0.1,100,168.21,17.48,16.313284,60.898566,709.37222
0.86,81,1010.6,0.2,100,217.16,11.02,21.841608,62.502006,595.21168
1.82,76,1010.2,0.1,100,416.52,13.76,33.396534,67.012071,288.75358
2.28,78,1009.6,0,100,311.5,17.38,46.68524,73.878297,120.28781
2.12,81,1010.5,0,100,338.2,21.18,60.174983,82.235384,54.593671
2.3,85,1010.1,0,100,210.93,25.74,107.16705,119.3571,10.725232
-4.36,96,1017.1,0,19,0,19.96,60.142185,82.118766,176.33224
-3.85,91,1016.6,0,13,5.34,23.4,48.078984,74.66776,555.61982
1.18,80,1013.9,0,2,309.72,41.25,16.671723,60.815986,487.8004
1.28,84,1011,0.3,100,169.99,43.01,21.639563,62.273365,769.56467
2.37,82,1010.2,0.3,100,202.03,48.7,33.244549,66.784438,411.2987
2.27,79,1010.6,0.4,100,234.96,46.01,46.568426,73.658816,435.15191
1.71,79,1010.5,0.4,100,136.17,41.94,56.223037,79.484072,46.973611
-1.93,92,1017.1,0.4,100,5.34,41.75,46.335509,73.407935,0.88722222
